中文名,学名,保护级别 State Priority Levels
黑鹮,Pseudibis papillosa,II
朱鹮,Nipponia nippon,Ⅰ
彩鹮,Plegadis falcinellus,II
白琵鹭,Platalea leucorodia,II
黑脸琵鹭,Platalea minor,II
红胸黑雁,Branta ruficollis,II
白额雁,Anser albifrons,II
天鹅（所有种）,Cygnus spp.,II
疣鼻天鹅 ,Cygnus olor,
大天鹅 ,Cygnus cygnus,
小天鹅 ,Cygnus columbianus,
鸳鸯,Aix galericulata,II
中华秋沙鸭,Mergus squamatus,Ⅰ
金雕,Aquila chrysaetos,Ⅰ
白肩雕,Aquila heliaca,Ⅰ
玉带海雕,Haliaeetus leucoryphus,Ⅰ
白尾海雕,Haliaeetus albcilla,Ⅰ
虎头海雕,Haliaeetus pelagicus,Ⅰ
拟兀鹫,Pseudogyps bengalensis,Ⅰ
胡兀鹫,Gypaetus barbatus,Ⅰ
其它鹰类,(Accipitridae),II
隼科（所有种）,Falconidae,II
红腿小隼,Microhierax caerulescens,
白腿小隼,Microhierax melanoleucus,
黄爪隼,Falco naumanni,
红隼,Falco tinnunculus,
西红脚隼,Falco vespertinus,
红脚隼,Falco amurensis,
灰背隼,Falco columbarius,
燕隼,Falco subbuteo,
猛隼,Falco severus,
猎隼,Falco cherrug,
矛隼,Falco rusticolus,
拟游隼,Falco pelegrinoides,
游隼,Falco peregrinus,
细嘴松鸡,Tetrao parvirostris,Ⅰ
黑琴鸡,Lyrurus tetrix,II
柳雷鸟,Lagopus lagopus,II
岩雷鸟,Lagopus mutus,II
镰翅鸟,Falcipennis falcipennis,II
花尾榛鸡,Tetrastes bonasia,II
斑尾榛鸡,Tetrastes sewerzowi,Ⅰ
雪鸡（所有种）,Tetraogallus spp.,II
藏雪鸡,Tetraogallus tibetanus,
阿尔泰雪鸡,Tetraogallus altaicus,
暗腹雪鸡,Tetraogallus himalayensis,
雉鹑,Tetraophasis obscurus,Ⅰ
四川山鹧鸪,Arborophila rufipectus,Ⅰ
海南山鹧鸪,Arborophila ardens,Ⅰ
血雉,Ithaginis cruentus,II
黑头角雉,Tragopan melanocephalus,Ⅰ
红胸角雉,Tragopan satyra,Ⅰ
灰腹角雉,Tragopan blythii,Ⅰ
红腹角雉,Tragopan temminckii,II
黄腹角雉,Tragopan caboti,Ⅰ
虹雉（所有种）,Lophophorus spp.,Ⅰ
棕尾虹雉,Lophophorus impejanus,
白尾梢虹雉,Lophophorus sclateri,
绿尾虹雉,Lophophorus lhuysii,
