中文名,学名,临危等级 Red List Status
霍氏鼠耳蝠,Myotis horsfieldii,LC 
中菊头蝠,Rhinolophus affinis,LC
伊氏鼠耳蝠,Myotis ikonnikovi,LC 
马铁菊头蝠,Rhinolophus ferrumequinum,LC
华南水鼠耳蝠,Myotis laniger,LC 
台湾菊头蝠,Rhinolophus formosae,NT
宽吻鼠耳蝠,Myotis latirostris,NT 
华南菊头蝠,Rhinolophus huananus,NT
长指鼠耳蝠,Myotis longipes,LC 
短翼菊头蝠,Rhinolophus lepidus,NT
大趾鼠耳蝠,Myotis macrodactylus,NT 
大菊头蝠,Rhinolophus luctus,NT
山地鼠耳蝠,Myotis montivagus,LC 
大耳菊头蝠,Rhinolophus macrotis,LC
喜山鼠耳蝠,Myotis muricola,NT 
马氏菊头蝠,Rhinolophus marshalli,NT
纳氏鼠耳蝠,Myotis nattereri,NT 
单角菊头蝠,Rhinolophus monoceros,VU
尼泊尔鼠耳蝠,Myotis nipalensis,DD 
丽江菊头蝠,Rhinolophus osgoodi,DD
北京鼠耳蝠,Myotis pequinius,LC 
高鞍菊头蝠,Rhinolophus paradoxolophus,NT
东亚水鼠耳蝠,Myotis petax,DD 
皮氏菊头蝠,Rhinolophus pearsoni,LC
大足鼠耳蝠,Myotis pilosus,NT 
小菊头蝠,Rhinolophus pusillus,LC
高颅鼠耳蝠,Myotis siligorensis,NT 
贵州菊头蝠,Rhinolophus rex,NT
台湾鼠耳蝠,Myotis taiwanensis,NT 
施氏菊头蝠,Rhinolophus schnitzleri,DD
东亚伏翼,Pipistrellus abramus,LC 
锡兰伏翼,Pipistrellus ceylonicus,LC
白腹管鼻蝠,Murina leucogaster,LC 
印度伏翼,Pipistrellus coromandra,LC
罗蕾莱管鼻蝠,Murina lorelieae,DD 
爪哇伏翼,Pipistrellus javanicus,NT
台湾管鼻蝠,Murina puta,NT 
古氏伏翼,Pipistrellus kuhlii,LC
隐姬管鼻蝠,Murina recondita,DD 
棒茎伏翼,Pipistrellus paterculus,LC
水甫管鼻蝠,Murina shuipuensis,DD 
普通伏翼,Pipistrellus pipistrellus,LC
乌苏里管鼻蝠,Murina ussuriensis,DD 
小伏翼,Pipistrellus tenuis,NT
毛翼管鼻蝠,Harpiocephalus harpia,NT 
大黑伏翼,Arielulus circumdatus,VU
哈氏彩蝠,Kerivoula hardwickii,DD 
黄喉黑伏翼,Arielulus torquatus,VU
彩蝠,Kerivoula picta,EN
茶褐伏翼,Falsistrellus affinis,LC
泰坦尼亚彩蝠,Kerivoula titania,NT 
大灰伏翼,Falsistrellus mordax,NT
灰伏翼,Hypsugo pulveratus,NT
萨氏伏翼,Hypsugo savii,NT
蜂猴,Nycticebus bengalensis,EN
道氏伏翼,Scotozous dormeri,LC
倭蜂猴,Nycticebus pygmaeus,CR
南蝠,Ia io,NT
双色蝙蝠,Vespertilio murinus,LC
短尾猴,Macaca arctoides,VU
东方蝙蝠,Vespertilio sinensis,LC
熊猴,Macaca assamensis,VU
北棕蝠,Eptesicus nilssoni,LC
台湾猴,Macaca cyclopis,EN
肥耳棕蝠,Eptesicus pachyotis,LC
北豚尾猴,Macaca leonina,CR
大棕蝠,Eptesicus serotinus,LC
白颊猕猴,Macaca leucogenys,CR
大山蝠,Nyctalus aviator,NT
猕猴,Macaca mulatta,LC 
褐山蝠,Nyctalus noctula,NT
达旺猴,Macaca munzala,EN
中华山蝠,Nyctalus plancyi,LC
藏酋猴,Macaca thibetana,VU
扁颅蝠,Tylonycteris pachypus,LC
长尾叶猴,Semnopithecus schistaceus,CR
小扁颅蝠,Tylonycteris pygmaeus,DD
印支灰叶猴,Trachypithecus crepusculus,EN
褐扁颅蝠,Tylonycteris robustula,NT
黑叶猴,Trachypithecus francoisi,EN
北京宽耳蝠,Barbastella beijingensis,DD
菲氏叶猴,Trachypithecus phayrei,VU
亚洲宽耳蝠,Barbastella leucomelas,VU
白头叶猴,Trachypithecus leucocephalus,CR
斑蝠,Scotomanes ornatus,LC
戴帽叶猴,Trachypithecus shortridgei,CR
大黄蝠,Scotophilus heathi,LC
滇金丝猴,Rhinopithecus bieti,EN
小黄蝠,Scotophilus kuhlii,LC
黔金丝猴,Rhinopithecus brelichi,CR
大耳蝠,Plecotus auritus,LC
川金丝猴,Rhinopithecus roxellana,VU
灰大耳蝠,Plecotus austriacus,NT
缅甸金丝猴,Rhinopithecus strykeri,CR
台湾大耳蝠,Plecotus taivanus,NT 
亚洲长翼蝠,Miniopterus fuliginosus,NT
白掌长臂猿,Hylobates lar,CR
琉球长翼蝠,Miniopterus fuscus,VU
东白眉长臂猿,Hoolock leuconedys,CR
几内亚长翼蝠,Miniopterus magnater,NT
西黑冠长臂猿,Nomascus concolor,CR
南长翼蝠,Miniopterus pusillus,NT
东黑冠长臂猿,Nomascus nasutus,CR
金管鼻蝠,Murina aurata,NT
海南长臂猿,Nomascus hainanus,CR
黄胸管鼻蝠,Murina bicolor,DD
北白颊长臂猿,Nomascus leucogenys,CR
金毛管鼻蝠,Murina chrysochaetes,DD 
圆耳管鼻蝠,Murina cyclotis,NT
人,Homo sapiens,LC 
艾氏管鼻蝠,Murina eleryi,NT
姬管鼻蝠,Murina gracilis,DD
哈氏管鼻蝠,Murina harrisoni,DD
印度穿山甲,Manis crassicaudata,DD 
东北管鼻蝠,Murina hilgendorfi,LC
马来穿山甲,Manis javanica,DD 
中管鼻蝠,Murina huttoni,LC
穿山甲,Manis pentadactyla,CR
小灵猫,Viverricula indica,VU
斑林狸,Prionodon pardicolor,VU
狼,Canis lupus,NT
椰子猫,Paradoxurus hermaphroditus,VU
沙狐,Vulpes corsac,NT
果子狸,Paguma larvata,NT 
藏狐,Vulpes ferrilata,NT
熊狸,Arctictis binturong,EN
赤狐,Vulpes vulpes,NT
小齿狸,Arctogalidia trivirgata,EN
貉,Nyctereutes procyonoides,NT
缟灵猫,Chrotogale owstoni,CR
豺,Cuon alpinus,EN
爪哇獴,Herpestes javanicus,VU
棕熊,Ursus arctos,VU
食蟹獴,Herpestes urva,NT  
黑熊,Ursus thibetanus,VU
马来熊,Helarctos malayanus,CR
荒漠猫,Felis bieti,CR
丛林猫,Felis chaus,EN
大熊猫,Ailuropoda melanoleuca,VU
野猫,Felis silvestris,EN
兔狲,Otocolobus manul,EN
小熊猫,Ailurus fulgens,VU
豹猫,Prionailurus bengalensis,VU
猞猁,Lynx lynx,EN
北海狗,Callorhinus ursinus,VU
云猫,Pardofelis marmorata,CR
北海狮,Eumetopias jubatus,NT
金猫,Pardofelis temminckii,CR
云豹,Neofelis nebulosa,CR
黄喉貂,Martes flavigula,NT
金钱豹,Panthera pardus,EN
石貂,Martes foina,EN
东北虎,Panthera tigris altaica,CR
紫貂,Martes zibellina,VU
华南虎,Panthera tigris amoyensis,CR
貂熊,Gulo gulo,EN
印支虎,Panthera tigris corbetti,CR
香鼬,Mustela altaica,NT
新疆虎,Panthera tigris virgata,EX 
白鼬,Mustela erminea,EN
孟加拉虎,Panthera tigris tigris,CR
艾鼬,Mustela eversmanii,VU
雪豹,Panthera uncia,EN
黄腹鼬,Mustela kathiah,NT
伶鼬,Mustela nivalis,VU
黄鼬,Mustela sibirica,LC
儒艮,Dugong dugon,CR
纹鼬,Mustela strigidorsa,EN
虎鼬,Vormela peregusna,EN
鼬獾,Melogale moschata,NT
缅甸鼬獾,Melogale personata,EN
亚洲狗獾,Meles leucurus,NT 
猪獾,Arctonyx collaris,NT
水獭,Lutra lutra,EN
爪哇犀,Rhinoceros sondaicus,RE 
江獭,Lutrogale perspicillata,EN
大独角犀,Rhinoceros unicornis,RE 
小爪水獭,Aonyx cinerea,EN
野马,Equus ferus,EW 
斑海豹,Phoca largha,VU
蒙古野驴,Equus hemionus,VU
环斑小头海豹,Pusa hispida,LC
藏野驴,Equus kiang,NT 
