中文名,学名,临危等级 Red List Status
伊犁鼠兔,Ochotona iliensis,EN
暗褐竹鼠,Rhizomys vestitus,DD
柯氏鼠兔,Ochotona koslowi,EN
中华鼢鼠,Eospalax fontanierii,LC
拉达克鼠兔,Ochotona ladacensis,LC 
罗氏鼢鼠,Eospalax rothschildi,LC
大耳鼠兔,Ochotona macrotis,LC 
秦岭鼢鼠,Eospalax rufescens,DD
木里鼠兔,Ochotona muliensis,DD 
斯氏鼢鼠,Eospalax smithii,NT
黑鼠兔,Ochotona nigritia,VU
草原鼢鼠,Myospalax aspalax,LC
奴布拉鼠兔,Ochotona nubrica,LC 
阿尔泰鼢鼠,Myospalax myospalax,LC
帕氏鼠兔,Ochotona pallasi,LC 
东北鼢鼠,Myospalax psilurus,LC
灰鼠兔,Ochotona roylei,NT 
红鼠兔,Ochotona rutila,NT 
林睡鼠,Dryomys nitedula,NT
藏鼠兔,Ochotona thibetana,LC 
四川毛尾睡鼠,Chaetocauda sichuanensis,EN
狭颅鼠兔,Ochotona thomasi,NT 
长尾蹶鼠,Sicista caudata,DD
云南兔,Lepus comus,NT 
中国蹶鼠,Sicista concolor,LC
高丽兔,Lepus coreanus*,CR
草原蹶鼠,Sicista subtilis,LC
海南兔,Lepus hainanus,NT 
天山蹶鼠,Sicista tianshanica,LC
东北兔,Lepus mandshuricus,LC 
林跳鼠,Eozapus setchuanus,LC
灰尾兔,Lepus oiostolus,LC 
巴里坤跳鼠,Allactaga balikunica,DD
华南兔,Lepus sinensis,LC 
巨泡五趾跳鼠,Allactaga bullata,LC
中亚兔,Lepus tibetanus,LC 
小五趾跳鼠,Allactaga elater,LC
雪兔,Lepus timidus,LC 
大五趾跳鼠,Allactaga major,LC
蒙古兔,Lepus tolai,LC 
五趾跳鼠,Allactaga sibirica,LC
塔里木兔,Lepus yarkandensis,NT 
小地兔,Pygeretmus pumilio,LC
五趾心颅跳鼠,Cardiocranius paradoxus,LC
肥尾心颅跳鼠,Salpingotus crassicauda,LC
三趾心颅跳鼠,Salpingotus kozlovi,LC
红喉潜鸟,Gavia stellate,LC 
三趾跳鼠,Dipus sagitta,LC
黑喉潜鸟,Gavia arctica,LC 
太平洋潜鸟,Gavia pacifica,DD
白斑军舰鸟,Fregata ariel,DD 
黄嘴潜鸟,Gavia adamsii,DD
苍鹭,Ardea cinerea,LC 
小,Tachybaptus ruficollis,LC
白腹鹭,Ardea insignis,DD 
赤颈,Podiceps grisegena,NT
草鹭,Ardea purpurea,LC 
凤头,Podiceps cristatus,LC
大白鹭,Ardea alba,LC 
角,Podiceps auritus,NT
斑鹭,Egretta picata,DD 
黑颈,Podiceps nigricollis,LC
白脸鹭,Egretta novaehollandiae,DD 
中白鹭,Egretta intermedia,LC 
白鹭,Egretta garzetta,LC 
黑背信天翁,Phoebastria immutabilis,DD
黄嘴白鹭,Egretta eulophotes,VU
黑脚信天翁,Phoebastria nigripes,DD
岩鹭,Egretta sacra,LC 
短尾信天翁,Phoebastria albatrus,VU
牛背鹭,Bubulcus ibis,LC 
池鹭,Ardeola bacchus,LC 
暴风鹱,Fulmarus glacialis,DD
绿鹭,Butorides striata,LC 
钩嘴圆尾鹱,Pterodroma rostrata,DD
夜鹭,Nycticorax nycticorax,LC 
白额圆尾鹱,Pterodroma hypoleuca,DD
棕夜鹭,Nycticorax caledonicus,LC 
褐燕鹱,Bulweria bulwerii,DD
海南千干鸟,Gorsachius magnificus,EN
白额鹱,Calonectris leucomelas,DD
栗头千干鸟,Gorsachius goisagi,DD 
淡足鹱,Puffinus carneipes,DD
黑冠千干鸟,Gorsachius melanolophus,NT 
楔尾鹱,Puffinus pacificus,DD
小苇千干鸟,Ixobrychus minutus,NT 
短尾鹱,Puffinus tenuirostris,DD
黄斑苇千干鸟,Ixobrychus sinensis,LC 
灰鹱,Puffinus griseus,DD
紫背苇千干鸟,Ixobrychus eurhythmus,LC 
栗苇千干鸟,Ixobrychus cinnamomeus,LC 
白腰叉尾海燕,Oceanodroma leucorhoa,DD
黑苇千干鸟,Dupetor flavicollis,LC 
黑叉尾海燕,Oceanodroma monorhis,DD
大麻千干鸟,Botaurus stellaris,LC 
褐翅叉尾海燕,Oceanodroma tristrami,DD
彩鹳,Mycteria leucocephala,DD 
钳嘴鹳,Anastomus oscitans,LC 
红嘴鹲,Phaethon aethereus,DD
黑鹳,Ciconia nigra,VU
红尾鹲,Phaethon rubricauda,DD
白鹳,Ciconia ciconia,RE 
白尾鹲,Phaethon lepturus,DD
东方白鹳,Ciconia boyciana,EN
秃鹳,Leptoptilos javanicus,DD 
白鹈鹕,Pelecanus onocrotalus,EN
斑嘴鹈鹕,Pelecanus philippensis,EN
圣鹮,Threskiornis aethiopicus,DD 
卷羽鹈鹕,Pelecanus crispus,EN
黑头白鹮,Threskiornis melanocephalus,CR
白肩黑鹮,Pseudibis davisoni,DD 
蓝脸鲣鸟,Sula dactylatra,LC
朱鹮,Nipponia nippon,EN
红脚鲣鸟,Sula sula,NT
彩鹮,Plegadis falcinellus,DD 
褐鲣鸟,Sula leucogaster,LC
白琵鹭,Platalea leucorodia,NT 
黑脸琵鹭,Platalea minor,EN
普通鸬鹚,Phalacrocorax carbo,LC
绿背鸬鹚,Phalacrocorax capillatus,DD 
海鸬鹚,Phalacrocorax pelagicus,NT
大红鹳,Phoenicopterus ruber,DD 
红脸鸬鹚,Phalacrocorax urile,LC
黑颈鸬鹚,Phalacrocorax niger,LC 
栗树鸭,Dendrocygna javanica,VU
白腹军舰鸟,Fregata andrewsi,DD
疣鼻天鹅,Cygnus olor,NT 
黑腹军舰鸟,Fregata minor,LC
大天鹅,Cygnus cygnus,NT 
小天鹅,Cygnus columbianus,NT 
鸿雁,Anser cygnoides,VU
鹗,Pandion haliaetus,NT 
豆雁,Anser fabalis,LC 
白额雁,Anser albifrons,LC
褐冠鹃隼,Aviceda jerdoni,NT 
小白额雁,Anser erythropus,VU
黑冠鹃隼,Aviceda leuphotes,LC 
灰雁,Anser anser,LC
凤头蜂鹰,Pernis ptilorhyncus,NT 
斑头雁,Anser indicus,LC
黑翅鸢,Elanus caeruleus,NT 
雪雁,Anser caerulescens,DD
黑鸢,Milvus migrans,LC 
加拿大雁,Branta canadensis,DD
栗鸢,Haliastur indus,VU
黑雁,Branta bernicla,DD
白腹海雕,Haliaeetus leucogaster,VU
白颊黑雁,Branta leucopsis,DD
玉带海雕,Haliaeetus leucoryphus,EN
红胸黑雁,Branta ruficollis,DD
白尾海雕,Haliaeetus albicilla,VU
赤麻鸭,Tadorna ferruginea,LC
虎头海雕,Haliaeetus pelagicus,EN
翘鼻麻鸭,Tadorna tadorna,LC
渔雕,Ichthyophaga humilis,NT 
瘤鸭,Sarkidiornis melanotos,DD
胡兀鹫,Gypaetus barbatus,NT 
棉凫,Nettapus coromandelianus,EN
白背兀鹫,Gyps bengalensis,DD 
鸳鸯,Aix galericulata,NT
长嘴兀鹫,Gyps indicus,DD 
赤颈鸭,Anas penelope,LC
高山兀鹫,Gyps himalayensis,NT 
绿眉鸭,Anas americana,DD
兀鹫,Gyps fulvus,NT 
罗纹鸭,Anas falcata,NT
秃鹫,Aegypius monachus,NT 
赤膀鸭,Anas strepera,LC
黑兀鹫,Sarcogyps calvus,CR
花脸鸭,Anas formosa,NT
短趾雕,Circaetus gallicus,NT 
绿翅鸭,Anas crecca,LC
蛇雕,Spilornis cheela,NT 
绿头鸭,Anas platyrhynchos,LC
白头鹞,Circus aeruginosus,NT 
斑嘴鸭,Anas poecilorhyncha,LC
白腹鹞,Circus spilonotus,NT 
棕颈鸭,Anas luzonica,DD
白尾鹞,Circus cyaneus,NT 
针尾鸭,Anas acuta,LC
草原鹞,Circus macrourus,NT 
白眉鸭,Anas querquedula,LC
鹊鹞,Circus melanoleucos,NT 
琵嘴鸭,Anas clypeata,LC
乌灰鹞,Circus pygargus,NT 
云石斑鸭,Marmaronetta angustirostris,DD
凤头鹰,Accipiter trivirgatus,NT 
赤嘴潜鸭,Netta rufina,LC
褐耳鹰,Accipiter badius,NT 
帆背潜鸭,Aythya valisineria,DD
赤腹鹰,Accipiter soloensis,LC 
红头潜鸭,Aythya ferina,LC
日本松雀鹰,Accipiter gularis,LC 
青头潜鸭,Aythya baeri,CR
松雀鹰,Accipiter virgatus,LC 
白眼潜鸭,Aythya nyroca,NT
雀鹰,Accipiter nisus,LC 
凤头潜鸭,Aythya fuligula,LC
苍鹰,Accipiter gentilis,NT 
斑背潜鸭,Aythya marila,LC
白眼鹰,Butastur teesa,DD 
小绒鸭,Polysticta stelleri,DD
棕翅鹰,Butastur liventer,DD 
丑鸭,Histrionicus histrionicus,DD
灰脸鹰,Butastur indicus,NT 
长尾鸭,Clangula hyemalis,EN
普通,Buteo buteo,LC 
黑海番鸭,Melanitta nigra,DD
棕尾,Buteo rufinus,NT 
斑脸海番鸭,Melanitta stejnegeri,NT
大,Buteo hemilasius,VU
鹊鸭,Bucephala clangula,LC
毛脚,Buteo lagopus,NT 
斑头秋沙鸭,Mergellus albellus,LC
林雕,Ictinaetus malayensis,VU
红胸秋沙鸭,Mergus serrator,LC
乌雕,Aquila clanga,EN
普通秋沙鸭,Mergus merganser,LC
草原雕,Aquila nipalensis,VU
中华秋沙鸭,Mergus squamatus,EN
白肩雕,Aquila heliaca,EN
白头硬尾鸭,Oxyura leucocephala,CR
金雕,Aquila chrysaetos,VU
白腹隼雕,Hieraaetus fasciata,VU
靴隼雕,Hieraaetus pennatus,VU
台湾山鹧鸪,Arborophila crudigularis,NT 
棕腹隼雕,Hieraaetus kienerii,NT
海南山鹧鸪,Arborophila ardens,EN
鹰雕,Spizaetus nipalensis,NT
褐胸山鹧鸪,Arborophila brunneopectus,NT 
凤头鹰雕,Spizaetus cirrhatus,NT
绿脚山鹧鸪,Arborophila chloropus,NT 
棕胸竹鸡,Bambusicola fytchii,LC 
红腿小隼,Microhierax caerulescens,NT
灰胸竹鸡,Bambusicola thoracicus,LC 
白腿小隼,Microhierax melanoleucus,VU
血雉,Ithaginis cruentus,NT 
黄爪隼,Falco naumanni,VU
黑头角雉,Tragopan melanocephalus,DD 
红隼,Falco tinnunculus,LC
红胸角雉,Tragopan satyra,VU
西红脚隼,Falco vespertinus,NT
灰腹角雉,Tragopan blythii,DD 
红脚隼,Falco amurensis,NT
红腹角雉,Tragopan temminckii,NT 
灰背隼,Falco columbarius,NT
黄腹角雉,Tragopan caboti,EN
燕隼,Falco subbuteo,LC
勺鸡,Pucrasia macrolopha,LC 
猛隼,Falco severus,DD
棕尾虹雉,Lophophorus impejanus,NT 
猎隼,Falco cherrug,EN
白尾梢虹雉,Lophophorus sclateri,EN
矛隼,Falco rusticolus,NT
绿尾虹雉,Lophophorus lhuysii,EN
拟游隼,Falco pelegrinoides,NT
原鸡,Gallus gallus,NT 
游隼,Falco peregrinus,NT
黑鹇,Lophura leucomelanos,NT 
白鹇,Lophura nycthemera,LC 
蓝腹鹇,Lophura swinhoii,NT 
镰翅鸡,Dendragapus falcipennis,RE
白马鸡,Crossoptilon crossoptilon,NT 
柳雷鸟,Lagopus lagopus,VU
藏马鸡,Crossoptilon harmani,NT 
岩雷鸟,Lagopus muta,NT
蓝马鸡,Crossoptilon auritum,NT 
黑琴鸡,Lyrurus tetrix,NT
褐马鸡,Crossoptilon mantchuricum,VU
松鸡,Tetrao urogallus,EN
白颈长尾雉,Syrmaticus ellioti,VU
黑嘴松鸡,Tetrao parvirostris,EN
黑颈长尾雉,Syrmaticus humiae,VU
花尾榛鸡,Tetrastes bonasia,LC
黑长尾雉,Syrmaticus mikado,NT 
斑尾榛鸡,Tetrastes sewerzowi,NT
白冠长尾雉,Syrmaticus reevesii,EN
环颈雉,Phasianus colchicus,LC 
雪鹑,Lerwa lerwa,NT
红腹锦鸡,Chrysolophus pictus,NT 
红喉雉鹑,Tetraophasis obscurus,VU
白腹锦鸡,Chrysolophus amherstiae,NT 
黄喉雉鹑,Tetraophasis szechenyii,VU
灰孔雀雉,Polyplectron bicalcaratum,EN
藏雪鸡,Tetraogallus tibetanus,NT
海南孔雀雉,Polyplectron katsumatae,CR
阿尔泰雪鸡,Tetraogallus altaicus,VU
绿孔雀,Pavo muticus,CR
暗腹雪鸡,Tetraogallus himalayensis,NT 
大石鸡,Alectoris magna,NT 
石鸡,Alectoris chukar,LC
林三趾鹑,Turnix sylvaticus,LC 
中华鹧鸪,Francolinus pintadeanus,NT
黄脚三趾鹑,Turnix tanki,LC 
灰山鹑,Perdix perdix,LC
棕三趾鹑,Turnix suscitator,LC 
斑翅山鹑,Perdix dauurica,LC 
高原山鹑,Perdix hodgsoniae,LC
蓑羽鹤,Anthropoides virgo,LC 
日本鹌鹑,Coturnix japonica,LC
白鹤,Grus leucogeranus,CR
鹌鹑,Coturnix coturnix,LC
沙丘鹤,Grus canadensis,DD 
蓝胸鹑,Coturnix chinensis,NT
赤颈鹤,Grus antigone,RE 
环颈山鹧鸪,Arborophila torqueola,LC
白枕鹤,Grus vipio,EN
四川山鹧鸪,Arborophila rufipectus,EN
灰鹤,Grus grus,NT 
红胸山鹧鸪,Arborophila mandellii,VU
白头鹤,Grus monacha,EN
白眉山鹧鸪,Arborophila gingica,VU
黑颈鹤,Grus nigricollis,VU
红喉山鹧鸪,Arborophila rufogularis,LC
丹顶鹤,Grus japonensis,EN
白颊山鹧鸪,Arborophila atrogularis,NT 
花田鸡,Coturnicops exquisitus,VU
黄颊麦鸡,Vanellus gregarius,DD 
红脚斑秧鸡,Rallina fasciata,DD
金鸻,Pluvialis fulva,LC 
白喉斑秧鸡,Rallina eurizonoides,VU
欧金鸻,Pluvialis apricaria,DD 
灰胸秧鸡,Gallirallus striatus,LC
灰鸻,Pluvialis squatarola,LC 
普通秧鸡,Rallus aquaticus,LC
剑鸻,Charadrius hiaticula,LC 
长脚秧鸡,Crex crex,VU
长嘴剑鸻,Charadrius placidus,NT 
红脚苦恶鸟,Amaurornis akool,LC
金眶鸻,Charadrius dubius,LC 
白胸苦恶鸟,Amaurornis phoenicurus,LC
环颈鸻,Charadrius alexandrinus,LC 
姬田鸡,Porzana parva,LC
蒙古沙鸻,Charadrius mongolus,LC 
小田鸡,Porzana pusilla,LC
铁嘴沙鸻,Charadrius leschenaultii,LC 
斑胸田鸡,Porzana porzana,LC
红胸鸻,Charadrius asiaticus,DD 
红胸田鸡,Porzana fusca,NT
东方鸻,Charadrius veredus,LC 
斑胁田鸡,Porzana paykullii,VU
小嘴鸻,Charadrius morinellus,DD 
棕背田鸡,Porzana bicolor,LC
白眉田鸡,Porzana cinerea,DD
丘鹬,Scolopax rusticola,LC 
董鸡,Gallicrex cinerea,LC
姬鹬,Lymnocryptes minimus,LC 
紫水鸡,Porphyrio porphyrio,VU
孤沙锥,Gallinago solitaria,LC 
黑水鸡,Gallinula chloropus,LC
拉氏沙锥,Gallinago hardwickii,DD 
白骨顶,Fulica atra,LC
林沙锥,Gallinago nemoricola,VU
针尾沙锥,Gallinago stenura,LC 
大鸨,Otis tarda,EN
大沙锥,Gallinago megala,LC 
波斑鸨,Chlamydotis macqueenii,EN
扇尾沙锥,Gallinago gallinago,LC 
小鸨,Tetrax tetrax,DD
半蹼鹬,Limnodromus semipalmatus,NT 
长嘴半蹼鹬,Limnodromus scolopaceus,DD 
黑尾塍鹬,Limosa limosa,LC 
水雉,Hydrophasianus chirurgus,NT
斑尾塍鹬,Limosa lapponica,NT 
铜翅水雉,Metopidius indicus,DD
小杓鹬,Numenius minutus,NT 
中杓鹬,Numenius phaeopus,LC 
彩鹬,Rostratula benghalensis,LC
白腰杓鹬,Numenius arquata,NT 
大杓鹬,Numenius madagascariensis,VU
蛎鹬,Haematopus ostralegus,LC
鹤鹬,Tringa erythropus,LC 
红脚鹬,Tringa totanus,LC 
鹮嘴鹬,Ibidorhyncha struthersii,NT
泽鹬,Tringa stagnatilis,LC 
青脚鹬,Tringa nebularia,LC 
黑翅长脚鹬,Himantopus himantopus,LC
小青脚鹬,Tringa guttifer,EN
反嘴鹬,Recurvirostra avosetta,LC
小黄脚鹬,Tringa flavipes,DD 
白腰草鹬,Tringa ochropus,LC 
石鸻,Burhinus oedicnemus,LC
林鹬,Tringa glareola,LC 
大石鸻,Esacus recurvirostris,LC
翘嘴鹬,Xenus cinereus,LC 
矶鹬,Actitis hypoleucos,LC 
领燕鸻,Glareola pratincola,LC
灰尾漂鹬,Heteroscelus brevipes,LC 
普通燕鸻,Glareola maldivarum,LC
漂鹬,Heteroscelus incanus,DD 
黑翅燕鸻,Glareola nordmanni,DD
翻石鹬,Arenaria interpres,LC 
灰燕鸻,Glareola lactea,LC
大滨鹬,Calidris tenuirostris,VU
红腹滨鹬,Calidris canutus,VU
凤头麦鸡,Vanellus vanellus,LC
三趾滨鹬,Calidris alba,LC 
距翅麦鸡,Vanellus duvaucelii,NT
西滨鹬,Calidris mauri,DD 
灰头麦鸡,Vanellus cinereus,LC
红颈滨鹬,Calidris ruficollis,LC 
肉垂麦鸡,Vanellus indicus,DD
小滨鹬,Calidris minuta,DD 
白尾麦鸡,Vanellus leucurus,DD
青脚滨鹬,Calidris temminckii,LC 
长趾滨鹬,Calidris subminuta,LC
白额燕鸥,Sterna albifrons,LC 
斑胸滨鹬,Calidris melanotos,DD
黑腹燕鸥,Sterna acuticauda,EN
尖尾滨鹬,Calidris acuminata,LC
白腰燕鸥,Sterna aleutica,LC 
弯嘴滨鹬,Calidris ferruginea,LC
褐翅燕鸥,Sterna anaethetus,LC 
岩滨鹬,Calidris ptilocnemis,DD
乌燕鸥,Sterna fuscata,LC 
黑腹滨鹬,Calidris alpina,LC
灰翅浮鸥,Chlidonias hybrida,LC 
勺嘴鹬,Eurynorhynchus pygmeus,CR
白翅浮鸥,Chlidonias leucopterus,LC 
阔嘴鹬,Limicola falcinellus,LC
黑浮鸥,Chlidonias niger,LC 
高跷鹬,Himantopus himantopus,DD
白顶玄燕鸥,Anous stolidus,LC 
黄胸鹬,Tryngites subruficollis,DD
白燕鸥,Gygis alba,DD 
流苏鹬,Philomachus pugnax,LC
红颈瓣蹼鹬,Phalaropus lobatus,LC
剪嘴鸥,Rynchops albicollis,DD 
灰瓣蹼鹬,Phalaropus fulicarius,LC
崖海鸦,Uria aalge,DD 
南极贼鸥,Catharacta maccormicki,DD
斑海雀,Brachyramphus marmoratus,DD 
中贼鸥,Stercorarius pomarinus,LC
扁嘴海雀,Synthliboramphus antiquus,NT 
短尾贼鸥,Stercorarius parasiticus,LC
冠海雀,Synthliboramphus wumizusume,DD 
长尾贼鸥,Stercorarius longicaudus,LC
角嘴海雀,Cerorhinca monocerata,DD 
黑尾鸥,Larus crassirostris,LC
普通海鸥,Larus canus,LC
西藏毛腿沙鸡,Syrrhaptes tibetanus,LC 
灰翅鸥,Larus glaucescens,LC
毛腿沙鸡,Syrrhaptes paradoxus,LC 
北极鸥,Larus hyperboreus,LC
黑腹沙鸡,Pterocles orientalis,NT 
银鸥,Larus argentatus,LC
西伯利亚银鸥,Larus vegae,LC
小黑背银鸥,Larus fuscus,LC
原鸽,Columba livia,LC 
黄腿银鸥,Larus cachinnans,LC
岩鸽,Columba rupestris,LC 
灰背鸥,Larus schistisagus,LC
雪鸽,Columba leuconota,LC 
渔鸥,Larus ichthyaetus,LC
欧鸽,Columba oenas,LC 
棕头鸥,Larus brunnicephalus,LC
中亚鸽,Columba eversmanni,DD 
红嘴鸥,Larus ridibundus,LC
斑尾林鸽,Columba palumbus,LC 
细嘴鸥,Larus genei,DD
斑林鸽,Columba hodgsonii,LC 
弗氏鸥,Larus pipixcan,DD
灰林鸽,Columba pulchricollis,LC 
黑嘴鸥,Larus saundersi,VU
紫林鸽,Columba punicea,EN
遗鸥,Larus relictus,EN
黑林鸽,Columba janthina,DD 
小鸥,Larus minutus,NT
欧斑鸠,Streptopelia turtur,LC 
楔尾鸥,Rhodostethia rosea,DD
山斑鸠,Streptopelia orientalis,LC 
叉尾鸥,Xema sabini,LC
灰斑鸠,Streptopelia decaocto,LC 
三趾鸥,Rissa tridactyla,LC
火斑鸠,Streptopelia tranquebarica,LC 
珠颈斑鸠,Streptopelia chinensis,LC 
鸥嘴噪鸥,Gelochelidon nilotica,LC
棕斑鸠,Streptopelia senegalensis,LC 
红嘴巨燕鸥,Hydroprogne caspia,LC
斑尾鹃鸠,Macropygia unchall,NT 
小凤头燕鸥,Thalasseus bengalensis,LC
菲律宾鹃鸠,Macropygia tenuirostris,LC 
黄嘴凤头燕鸥,Thalasseus sandvicensis,DD
小鹃鸠,Macropygia ruficeps,LC 
中华凤头燕鸥,Thalasseus bernsteini,CR
绿翅金鸠,Chalcophaps indica,LC 
大凤头燕鸥,Thalasseus bergii,NT
橙胸绿鸠,Treron bicinctus,NT 
河燕鸥,Sterna aurantia,NT
灰头绿鸠,Treron pompadora,NT 
粉红燕鸥,Sterna dougallii,LC
厚嘴绿鸠,Treron curvirostra,NT 
黑枕燕鸥,Sterna sumatrana,LC
黄脚绿鸠,Treron phoenicopterus,NT 
普通燕鸥,Sterna hirundo,LC
针尾绿鸠,Treron apicauda,NT 
楔尾绿鸠,Treron sphenurus,NT
兰屿角鸮,Otus elegans,NT 
红翅绿鸠,Treron sieboldii,LC
雕鸮,Bubo bubo,NT 
红顶绿鸠,Treron formosae,VU
林雕鸮,Bubo nipalensis,NT 
黑颏果鸠,Ptilinopus leclancheri,LC
雪鸮,Bubo scandiacus,NT 
绿皇鸠,Ducula aenea,EN
毛腿渔鸮,Ketupa blakistoni,CR
山皇鸠,Ducula badia,NT
褐渔鸮,Ketupa zeylonensis,EN
黄腿渔鸮,Ketupa flavipes,EN
褐林鸮,Strix leptogrammica,NT 
短尾鹦鹉,Loriculus vernalis,DD
灰林鸮,Strix aluco,NT 
小葵花鹦鹉,Cacatua sulphurea,DD
长尾林鸮,Strix uralensis,NT 
蓝腰鹦鹉,Psittinus cyanurus,VU
四川林鸮,Strix davidi,VU
亚历山大鹦鹉,Psittacula eupatria,DD
乌林鸮,Strix nebulosa,NT 
红领绿鹦鹉,Psittacula krameri,DD
猛鸮,Surnia ulula,NT 
灰头鹦鹉,Psittacula finschii,DD
花头鸺鹠,Glaucidium passerinum,NT 
花头鹦鹉,Psittacula roseata,DD
领鸺鹠,Glaucidium brodiei,LC 
大紫胸鹦鹉,Psittacula derbiana,VU
斑头鸺鹠,Glaucidium cuculoides,LC 
绯胸鹦鹉,Psittacula alexandri,VU
纵纹腹小鸮,Athene noctua,LC 
横斑腹小鸮,Athene brama,NT 
鬼鸮,Aegolius funereus,VU
斑翅凤头鹃,Clamator jacobinus,LC
鹰鸮,Ninox scutulata,NT 
红翅凤头鹃,Clamator coromandus,LC
日本鹰鸮,Ninox japonica,DD 
大鹰鹃,Cuculus sparverioides,LC
长耳鸮,Asio otus,LC 
普通鹰鹃,Cuculus varius,LC
短耳鸮,Asio flammeus,NT 
棕腹杜鹃,Cuculus nisicolor,LC
北棕腹杜鹃,Cuculus hyperythrus,LC
四声杜鹃,Cuculus micropterus,LC
黑顶蛙口夜鹰,Batrachostomus hodgsoni,DD 
大杜鹃,Cuculus canorus,LC
中杜鹃,Cuculus saturatus,LC
毛腿夜鹰,Eurostopodus macrotis,DD 
东方中杜鹃,Cuculus optatus,LC
普通夜鹰,Caprimulgus indicus,LC 
小杜鹃,Cuculus poliocephalus,LC
欧夜鹰,Caprimulgus europaeus,LC 
栗斑杜鹃,Cacomantis sonneratii,LC
埃及夜鹰,Caprimulgus aegyptius,DD 
八声杜鹃,Cacomantis merulinus,LC
中亚夜鹰,Caprimulgus centralasicus,DD 
翠金鹃,Chrysococcyx maculatus,NT
长尾夜鹰,Caprimulgus macrurus,DD 
紫金鹃,Chrysococcyx xanthorhynchus,NT
林夜鹰,Caprimulgus affinis,DD 
乌鹃,Surniculus dicruroides,LC
噪鹃,Eudynamys scolopacea,LC
绿嘴地鹃,Phaenicophaeus tristis,LC
爪哇金丝燕,Aerodramus fuciphagus,CR
褐翅鸦鹃,Centropus sinensis,LC
短嘴金丝燕,Aerodramus brevirostris,NT 
小鸦鹃,Centropus bengalensis,LC
大金丝燕,Aerodramus maximus,DD 
白喉针尾雨燕,Hirundapus caudacutus,LC 
灰喉针尾雨燕,Hirundapus cochinchinensis,NT 
仓鸮,Tyto alba,NT
棕雨燕,Cypsiurus balasiensis,LC 
东方草鸮,Tyto longimembris,DD
普通雨燕,Apus apus,LC 
栗鸮,Phodilus badius,NT
暗背雨燕,Apus acuticauda,DD 
白腰雨燕,Apus pacificus,LC 
黄嘴角鸮,Otus spilocephalus,NT
小白腰雨燕,Apus nipalensis,LC 
领角鸮,Otus lettia,LC
纵纹角鸮,Otus brucei,DD
凤头雨燕,Hemiprocne coronata,LC 
西红角鸮,Otus scops,LC
红角鸮,Otus sunia,LC
红头咬鹃,Harpactes erythrocephalus,NT
黄腰响蜜,Indicator xanthonotus,NT 
橙胸咬鹃,Harpactes oreskios,NT
红腹咬鹃,Harpactes wardi,NT
蚁,Jynx torquilla,LC 
斑姬啄木鸟,Picumnus innominatus,LC 
白眉棕啄木鸟,Sasia ochracea,LC 
斑头大翠鸟,Alcedo hercules,VU
星头啄木鸟,Dendrocopos canicapillus,LC 
普通翠鸟,Alcedo atthis,LC
小星头啄木鸟,Dendrocopos kizuki,LC 
蓝耳翠鸟,Alcedo meninting,LC
小斑啄木鸟,Dendrocopos minor,LC 
三趾翠鸟,Ceyx erithaca,DD
纹腹啄木鸟,Dendrocopos macei,DD 
鹳嘴翡翠,Pelargopsis capensis,DD
纹胸啄木鸟,Dendrocopos atratus,DD 
赤翡翠,Halcyon coromanda,DD
棕腹啄木鸟,Dendrocopos hyperythrus,LC 
白胸翡翠,Halcyon smyrnensis,LC
黄颈啄木鸟,Dendrocopos darjellensis,LC 
蓝翡翠,Halcyon pileata,LC
赤胸啄木鸟,Dendrocopos cathpharius,LC 
白领翡翠,Todirhamphus chloris,LC
白背啄木鸟,Dendrocopos leucotos,LC 
冠鱼狗,Megaceryle lugubris,LC
大斑啄木鸟,Dendrocopos major,LC 
斑鱼狗,Ceryle rudis,LC
白翅啄木鸟,Dendrocopos leucopterus,NT 
三趾啄木鸟,Picoides tridactylus,LC 
蓝须夜蜂虎,Nyctyornis athertoni,VU
栗啄木鸟,Celeus brachyurus,LC 
绿喉蜂虎,Merops orientalis,LC
白腹黑啄木鸟,Dryocopus javensis,NT 
蓝喉蜂虎,Merops viridis,LC
黑啄木鸟,Dryocopus martius,LC 
栗喉蜂虎,Merops philippinus,LC
黄冠啄木鸟,Picus chlorolophus,NT 
彩虹蜂虎,Merops ornatus,DD
大黄冠啄木鸟,Picus flavinucha,EN
黄喉蜂虎,Merops apiaster,NT
花腹绿啄木鸟,Picus vittatus,DD 
栗头蜂虎,Merops leschenaultia,LC
鳞喉绿啄木鸟,Picus xanthopygaeus,DD 
鳞腹绿啄木鸟,Picus squamatus,DD 
蓝胸佛法僧,Coracias garrulus,NT
红颈绿啄木鸟,Picus rabieri,DD 
棕胸佛法僧,Coracias benghalensis,NT
灰头绿啄木鸟,Picus canus,LC 
三宝鸟,Eurystomus orientalis,LC
喜山金背啄木鸟,Dinopium shorii,DD 
金背啄木鸟,Dinopium javanense,DD 
小金背啄木鸟,Dinopium benghalense,DD 
戴胜,Upupa epops,LC
大金背啄木鸟,Chrysocolaptes lucidus,DD 
竹啄木鸟,Gecinulus grantia,LC 
黄嘴栗啄木鸟,Blythipicus pyrrhotis,LC 
冠斑犀鸟,Anthracoceros albirostris,CR
大灰啄木鸟,Mulleripicus pulverulentus,DD 
双角犀鸟,Buceros bicornis,CR
白喉犀鸟,Anorrhinus tickelli,VU
棕颈犀鸟,Aceros nipalensis,CR
长尾阔嘴鸟,Psarisomus dalhousiae,NT  
